player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Nick Folk,3794,K,TEN,1,2,2,3.96,39.0,40.5,3.0,0,0,0,1,31,59.0,0,41,0,0,50.0,3,1,2,7.91,78,0,81
Thomas Morstead,5088,P,NYJ,12,71,71,4.41,42.41,49.28,11.1,0,0,5,22,22,79.7,28,62,4,0,49.3,388,35,71,313.09,3011,5,3499
Bryan Anger,7072,P,DAL,11,31,31,4.55,45.48,50.97,8.1,0,0,2,10,9,83.4,13,63,1,0,51.6,130,16,31,141.18,1410,2,1580
Johnny Hekker,7252,P,CAR,12,60,60,4.34,43.47,47.05,6.7,0,1,9,22,5,61.9,22,69,3,1,38.3,155,23,60,260.44,2608,3,2823
Sam Martin,7947,P,BUF,12,34,34,4.21,38.26,44.53,12.4,0,0,4,11,4,66.1,13,70,3,0,41.2,173,14,34,143.02,1301,2,1514
Brad Wing,8256,P,PIT,2,11,11,4.48,38.91,45.0,6.8,0,0,0,4,25,58.9,3,52,1,0,36.4,27,4,11,49.3,428,2,495
Tress Way,8358,P,WAS,13,57,57,4.37,41.75,46.61,8.2,0,0,6,19,32,54.9,24,66,1,0,50.9,237,29,57,249.18,2380,2,2657
Bradley Pinion,9598,P,ATL,12,55,55,4.47,41.64,47.8,12.5,0,0,3,17,2,90.0,22,62,9,0,43.6,299,24,55,245.84,2290,2,2629
Riley Dixon,10862,P,DEN,12,50,50,4.25,41.24,45.3,6.5,0,0,4,17,10,64.8,15,68,4,0,44.0,143,22,50,212.71,2062,3,2265
Rigoberto Sanchez,12130,P,IND,12,52,52,4.27,41.92,47.54,10.4,0,0,9,9,14,63.7,20,69,6,0,53.8,292,28,52,221.8,2180,0,2472
Cameron Johnston,12255,P,HST,8,37,37,4.29,43.16,47.05,7.0,0,0,5,15,13,65.8,15,74,2,0,32.4,84,12,37,158.88,1597,3,1741
Corey Bojorquez,27626,P,CLV,12,60,60,4.32,42.58,50.15,10.5,0,0,4,11,8,78.7,21,73,9,0,46.7,294,28,60,259.25,2555,8,3009
Logan Cooke,29214,P,JAX,12,46,46,4.3,43.26,47.3,6.6,0,0,4,15,15,75.2,26,62,7,0,34.8,106,16,46,197.6,1990,4,2176
Tommy Townsend,33007,P,KC,12,40,40,4.53,42.3,48.08,12.2,0,0,6,14,16,68.2,13,68,3,0,35.0,171,14,40,181.22,1692,3,1923
Jake Bailey,33963,P,MIA,12,34,34,4.53,41.91,45.24,7.3,0,0,5,12,17,73.0,12,66,5,0,29.4,73,10,34,154.05,1425,2,1538
Jack Fox,34735,P,DET,12,37,37,4.6,42.65,45.73,5.9,0,0,5,14,11,68.0,22,62,1,0,43.2,94,16,37,170.19,1578,1,1692
Michael Dickson,35381,P,SEA,11,44,44,4.38,43.75,49.11,5.9,0,0,8,6,29,69.3,18,73,2,0,52.3,136,23,44,192.56,1925,5,2161
AJ Cole,36038,P,LV,12,46,46,4.34,46.37,51.04,7.9,0,0,2,15,23,88.8,24,70,8,0,37.0,135,17,46,199.51,2133,4,2348
JK Scott,38809,P,LAC,12,52,52,4.71,41.48,45.0,7.2,0,0,7,21,27,71.7,23,65,4,0,32.7,123,17,52,245.11,2157,3,2340
Mitch Wishnowsky,44663,P,SF,12,38,38,4.39,42.74,47.5,10.1,0,0,8,10,28,72.7,22,67,3,0,42.1,161,16,38,166.88,1624,1,1805
Braden Mann,44664,P,PHI,10,30,30,4.33,42.83,49.17,9.4,0,0,6,4,24,64.5,11,63,1,0,60.0,170,18,30,129.98,1285,1,1475
Nolan Cooney,44995,P,ARZ,4,13,13,4.56,40.31,45.54,6.9,0,0,1,3,1,58.4,2,56,1,0,53.8,48,7,13,59.26,524,1,592
Blake Gillikin,45045,P,ARZ,9,40,40,4.28,41.98,50.08,11.7,0,0,6,5,1,68.2,7,66,2,0,65.0,304,26,40,171.0,1679,1,2003
Ryan Stonehouse,52045,P,TEN,12,53,53,4.27,44.72,53.08,11.0,2,0,6,7,31,73.8,30,74,8,0,41.5,243,22,55,226.39,2370,10,2813
Daniel Whelan,57639,P,GB,12,47,47,4.49,38.83,46.34,13.3,0,0,3,19,12,74.7,18,68,1,0,40.4,253,19,47,211.02,1825,5,2178
Jordan Stout,57649,P,BLT,12,47,47,4.29,39.91,48.09,13.2,1,0,3,13,3,75.6,23,67,4,0,48.9,304,23,48,201.55,1876,4,2260
Bryce Baringer,60274,P,NE,12,63,63,4.26,41.7,47.6,9.7,0,0,5,15,19,67.0,29,79,10,0,44.4,272,28,63,268.51,2627,5,2999
Brad Robbins,60291,P,CIN,12,55,55,4.25,39.75,44.25,7.0,0,0,1,21,7,59.3,17,62,7,0,38.2,148,21,55,233.92,2186,5,2434
Trenton Gill,60295,P,CHI,12,42,42,4.33,36.43,45.69,14.7,0,0,6,7,6,62.5,13,62,4,0,50.0,309,21,42,181.98,1530,4,1919
Pressley Harvin III,62973,P,PIT,10,56,56,4.44,39.7,44.68,9.5,0,0,8,15,25,60.0,26,63,8,0,37.5,199,21,56,248.47,2223,4,2502
Jamie Gillan,63303,P,NYG,12,72,72,4.18,43.29,46.64,5.6,0,0,8,25,21,62.1,29,74,6,0,40.3,161,29,72,300.73,3117,4,3358
Ryan Wright,77591,P,MIN,12,38,38,4.39,41.11,47.61,8.5,0,0,2,10,18,65.4,11,63,5,0,39.5,127,15,38,166.81,1562,6,1809
Arryn Siposs,82019,P,PHI,2,8,8,4.32,38.38,43.38,8.0,0,0,1,2,24,59.1,2,54,0,0,62.5,40,5,8,34.59,307,0,347
Jake Camarda,82636,P,TB,12,57,57,4.31,41.86,49.75,11.5,0,0,6,8,30,66.5,23,74,9,0,47.4,310,27,57,245.67,2386,7,2836
Lou Hedley,98796,P,NO,12,54,54,4.01,39.63,43.22,5.4,0,0,6,18,20,54.3,24,62,5,0,38.9,114,21,54,216.68,2140,4,2334
Ty Zentner,99465,P,HST,4,14,14,4.26,38.64,42.14,3.0,0,0,1,5,13,50.8,2,54,3,0,21.4,9,3,14,59.59,541,2,590
Ethan Evans,112090,P,LA,12,45,45,4.4,41.8,49.49,11.7,1,0,4,10,26,71.3,17,72,5,0,46.7,246,21,46,197.97,1881,5,2227
