"","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","def_pass_epa_rank","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate","routes","slot_rate","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_rate","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","targets_game","rec_game","rec_yards_game","rec_td_game","man_yprr","zone_yprr","man_adv","avg_rank.x","def_rush_epa","def_rush_epa_rank","def_rush_epa_sd","def_pass_epa","def_pass_epa_sd","avg_rank.y","off_rush_epa","off_rush_epa_rank","off_rush_epa_sd","off_pass_epa","off_pass_epa_rank","off_pass_epa_sd","man_snaps","zone_snaps","def_man_grade","def_zone_grade","man_percentage","man_rank","def_man_grade_rank","zone_percentage","zone_rank","def_zone_grade_rank","def","rdef","tack","prsh","cov","def_rank","def_sd","rdef_rank","rdef_sd","tack_rank","tack_sd","prsh_rank","prsh_sd","cov_rank","cov_sd","z_score","roof","dome"
"1","WR1","Amon-Ra St Brown",22.95,5.93,105.02,0.72,"2024_20_WAS_DET",55.5,"WAS",24,-9.5,1,"2025-01-18","Saturday","20:00",84470,"WR","DET",17,8.3,12,83.3,66.7,20,30,1,0.9,1,71,11,1,91.5,62.6,88.1,76.2,90,0,0,1,66,0.3,2,572,3,96.3,551,51.2,293,130.8,138,12,47.7,273,1263,406,3.5,11,2.29,8.1,6.76,74.29,0.71,2.09,2.37,-0.28,24,-0.033,24,0.54,0.106,0.55,4,0.019,5,1.12,0.269,3,1.64,1502,2500,58.2,60.8,0.375,6,23,0.625,27,16,61.6,60.5,58.6,64.7,58.8,28,-0.76,28,-1.08,12,0.49,15,-0.1,24,-0.69,1.09,"dome",1
"2","WR2","Terry Mclaurin",20.86,5.62,97.19,0.72,"2024_20_WAS_DET",55.5,"DET",7,9.5,0,"2025-01-18","Saturday","20:00",48229,"WR","WAS",18,13.8,6,71.2,67.6,25,37,0,5.3,5,60,32,0,77.8,55.6,81.8,64.9,84.8,0,0,1,86,0.2,1,627,1,93.3,585,15.8,99,134.9,125,14,84.2,528,1185,307,3.4,13.3,2.03,6.9,4.94,65.83,0.78,1.74,2.39,-0.65,9.5,-0.11,12,-0.52,-0.016,-1.18,4,0.02,4,1.13,0.219,4,1.23,2266,2390,63.7,64.4,0.487,1,6,0.513,32,8,67.2,67,62.2,65.7,66.5,4,0.97,6,0.94,3,1.41,12,0.16,4,1.15,2.41,"dome",1
"3","WR3","Jameson Williams",19.15,4.89,82.58,0.63,"2024_20_WAS_DET",55.5,"WAS",24,-9.5,1,"2025-01-18","Saturday","20:00",101701,"WR","DET",15,11.6,3,65.9,46.2,6,13,0,3.3,2,42,11,0,76.6,82,75.7,NA,76.5,0,0,3,82,0,0,493,4,96.8,477,35.7,176,116.7,88,7,64.3,317,1001,490,8.4,17.3,2.1,5.9,3.87,66.73,0.47,2.54,1.93,0.61,24,-0.033,24,0.54,0.106,0.55,4,0.019,5,1.12,0.269,3,1.64,1502,2500,58.2,60.8,0.375,6,23,0.625,27,16,61.6,60.5,58.6,64.7,58.8,28,-0.76,28,-1.08,12,0.49,15,-0.1,24,-0.69,1.09,"dome",1
"4","WR4","Devonta Smith",17.6,5.42,65.87,0.75,"2024_20_LA_PHI",44.5,"LA",16,-6,1,"2025-01-19","Sunday","15:00",61100,"WR","PHI",14,10,8,81.8,43.8,7,16,0,5.3,4,44,24,0,75.2,81.4,82,NA,84.7,0.5,2,3,49,0,0,442,4,94.6,418,54.8,242,124.8,88,8,44.8,198,888,313,4.3,12.3,2.12,6.3,5.14,63.43,0.57,1.82,2.27,-0.45,17.5,-0.051,19,0.29,0.074,0.1,5,0.057,2,1.59,0.154,8,0.7,1035,2896,59.8,61.7,0.263,22,16,0.737,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,"outdoors",0
"5","WR5","Puka Nacua",15.83,5.57,69.44,0.4,"2024_20_LA_PHI",44.5,"PHI",2,6,0,"2025-01-19","Sunday","15:00",100632,"WR","LA",12,7.7,21,75,37.5,6,16,0,4.5,4,50,26,0,75,83.6,92.6,75.5,92.8,3,10,1,51,0.9,3,329,2,93,306,30.1,99,108.3,112,3,66.3,218,1034,550,6.5,12.3,3.38,9.3,7,86.17,0.25,3.37,3.54,-0.17,2,-0.182,2,-1.52,-0.029,-1.37,14,-0.076,16,-0.05,0.109,12,0.34,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,1.71,"outdoors",0
"6","WR6","Khalil Shakir",14.61,5.07,61.84,0.47,"2024_20_BAL_BUF",51.5,"BAL",14,1.5,1,"2025-01-19","Sunday","18:30",84140,"WR","BUF",16,5.4,23,81.2,42.9,6,14,1,2.4,2,38,4,1,85.2,54.7,78.1,61.6,78.8,0.4,2,1,52,0.2,1,445,3,91,405,72.1,321,112.1,101,4,26.7,119,882,655,8,10.8,2.18,6.3,5.12,55.12,0.25,1.57,2.23,-0.66,8.5,-0.174,3,-1.41,0.059,-0.12,2.5,0.036,3,1.33,0.312,2,1.99,1825,2860,65.6,60.6,0.39,5,4,0.61,28,20,67.2,68.2,60.8,65.7,65.1,4,0.97,1,1.32,6,1.05,12,0.16,7,0.81,2.11,"outdoors",0
"7","WR7","Nico Collins",14.28,5.51,64.18,0.34,"2024_20_HOU_KC",41.5,"KC",15,8.5,0,"2025-01-18","Saturday","16:30",61441,"WR","HST",13,11.8,12,70.1,62.5,10,16,1,5.1,4,54,13,0,78.3,82,92,75.8,92,0,0,5,67,0.5,2,409,3,94.1,385,24.4,100,109.9,107,8,75.3,308,1128,422,5.6,15,2.93,8.2,5.77,86.77,0.62,4.3,2.68,1.62,13,-0.115,11,-0.59,0.07,0.04,23,-0.126,24,-0.67,0.002,22,-0.53,1326,2551,58.4,66.8,0.342,11,22,0.658,22,5,68.4,67.3,62.5,67.8,67.1,2,1.34,4,1.04,2,1.48,8,0.69,2,1.29,-0.57,"outdoors",0
"8","WR8","Allen Robinson",14.19,2.68,62.28,0.6,"2024_20_WAS_DET",55.5,"WAS",24,-9.5,1,"2025-01-18","Saturday","20:00",8696,"WR","DET",11,7.3,0,42.9,33.3,1,3,0,25,1,3,11,0,36.2,65.8,57.8,NA,61.5,0,0,0,21,0,0,44,1,95.5,42,50,22,55.7,7,0,50,22,30,3,1,10,0.71,0.6,0.27,2.73,0,2.31,0,2.31,24,-0.033,24,0.54,0.106,0.55,4,0.019,5,1.12,0.269,3,1.64,1502,2500,58.2,60.8,0.375,6,23,0.625,27,16,61.6,60.5,58.6,64.7,58.8,28,-0.76,28,-1.08,12,0.49,15,-0.1,24,-0.69,1.09,"dome",1
"9","WR9","Zay Flowers",14.09,5.44,66.93,0.35,"2024_20_BAL_BUF",51.5,"BUF",20,-1.5,0,"2025-01-19","Sunday","18:30",97268,"WR","BLT",17,10.7,18,66.1,50,8,16,0,6.3,5,48,3,0,67,83.4,82.1,NA,83.8,0,0,0,53,0,0,500,2,94,470,38,190,108.4,112,4,61.8,309,1059,467,6.3,14.3,2.25,6.6,4.35,62.29,0.24,2.39,2.05,0.34,12,-0.163,4,-1.25,0.088,0.3,1,0.073,1,1.79,0.329,1,2.13,991,2889,55.3,57.4,0.255,24,27,0.745,9,30,61.3,62.8,57.7,67.6,55.1,29,-0.85,24,-0.36,13,0.26,10,0.64,31,-1.57,1.83,"outdoors",0
"10","WR10","Aj Brown",13.84,4.84,58.01,0.45,"2024_20_LA_PHI",44.5,"LA",16,-6,1,"2025-01-19","Sunday","15:00",48327,"WR","PHI",14,12.7,17,69.4,61.5,16,26,0,0,0,52,24,0,91,81.1,90.6,NA,91.2,0,0,2,67,0,0,409,2,94.1,385,18.1,74,121.5,98,7,81.9,335,1089,357,5.3,16,2.83,7,4.86,77.79,0.5,4.12,2.43,1.69,17.5,-0.051,19,0.29,0.074,0.1,5,0.057,2,1.59,0.154,8,0.7,1035,2896,59.8,61.7,0.263,22,16,0.737,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,"outdoors",0
"11","WR11","Cooper Kupp",11.14,4.07,52.95,0.17,"2024_20_LA_PHI",44.5,"PHI",2,6,0,"2025-01-19","Sunday","15:00",11824,"WR","LA",13,8.3,7,69.4,47.1,8,17,0,2.9,2,29,26,1,85.7,48.3,71.5,67.4,72.4,0,0,0,69,0.5,2,405,0,93.1,377,65.9,267,111.7,98,6,34.1,138,739,266,3.9,10.9,1.96,7.5,5.23,56.85,0.46,1.9,2.17,-0.27,2,-0.182,2,-1.52,-0.029,-1.37,14,-0.076,16,-0.05,0.109,12,0.34,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,1.71,"outdoors",0
"12","WR12","Marquise Brown",11.09,3.72,49,0.27,"2024_20_HOU_KC",41.5,"HOU",3,-8.5,1,"2025-01-18","Saturday","16:30",61568,"WR","KC",2,8.1,0,60,100,1,1,0,0,0,5,16,0,77.3,70.6,76.5,NA,75,0,0,0,20,0,0,35,0,97.1,34,45.7,16,77.4,15,0,54.3,19,91,46,5.1,10.1,2.68,7.5,4.5,45.5,0,2.33,3.11,-0.78,4,-0.155,5,-1.14,-0.027,-1.34,11,-0.058,12,0.17,0.139,10,0.58,1186,2899,57.8,66.2,0.29,18,26,0.71,15,7,66.2,65.2,55.5,68.2,63.5,8,0.66,13,0.38,18,-0.31,5,0.79,10,0.43,1.92,"outdoors",0
"13","WR13","Tim Patrick",10.53,2.9,41.83,0.53,"2024_20_WAS_DET",55.5,"WAS",24,-9.5,1,"2025-01-18","Saturday","20:00",12087,"WR","DET",16,11.3,4,73.3,33.3,1,3,0,0,0,20,11,0,89,77.1,66.9,67.3,66,0,0,3,42,0.6,2,352,0,97.2,342,23.3,82,94.1,45,3,76.7,270,394,141,4.3,11.9,1.15,2.8,2.06,24.62,0.19,0.8,1.28,-0.48,24,-0.033,24,0.54,0.106,0.55,4,0.019,5,1.12,0.269,3,1.64,1502,2500,58.2,60.8,0.375,6,23,0.625,27,16,61.6,60.5,58.6,64.7,58.8,28,-0.76,28,-1.08,12,0.49,15,-0.1,24,-0.69,1.09,"dome",1
"14","WR14","Rashod Bateman",10.2,3.2,44.42,0.34,"2024_20_BAL_BUF",51.5,"BUF",20,-1.5,0,"2025-01-19","Sunday","18:30",84296,"WR","BLT",18,15.2,9,68.1,33.3,2,6,2,7.8,4,37,3,0,62.5,78.9,70.9,NA,72.2,0,0,2,59,0,0,496,3,94.4,468,9.3,46,133.5,69,10,90.7,450,780,189,4,16.6,1.67,3.8,2.61,43.33,0.56,1.36,1.86,-0.5,12,-0.163,4,-1.25,0.088,0.3,1,0.073,1,1.79,0.329,1,2.13,991,2889,55.3,57.4,0.255,24,27,0.745,9,30,61.3,62.8,57.7,67.6,55.1,29,-0.85,24,-0.36,13,0.26,10,0.64,31,-1.57,1.83,"outdoors",0
"15","WR15","Demarcus Robinson",10.01,2.92,41.06,0.38,"2024_20_LA_PHI",44.5,"PHI",2,6,0,"2025-01-19","Sunday","15:00",10760,"WR","LA",18,16.7,1,51.6,53.8,7,13,1,3,1,28,26,0,79.4,77.1,64.6,NA,66.1,0,0,4,46,0,0,570,1,94.4,538,37.5,214,91.3,62,7,62.5,356,528,80,2.5,16.5,0.98,3.4,1.78,29.33,0.39,0.99,1.12,-0.13,2,-0.182,2,-1.52,-0.029,-1.37,14,-0.076,16,-0.05,0.109,12,0.34,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,1.71,"outdoors",0
"16","WR16","Keon Coleman",9.78,3.37,44.22,0.49,"2024_20_BAL_BUF",51.5,"BAL",14,1.5,1,"2025-01-19","Sunday","18:30",144949,"WR","BUF",14,15.4,5,50.8,36.8,7,19,2,14.3,5,21,4,0,45.4,77.3,68.6,NA,69.2,0,0,2,64,0,0,370,5,92.4,342,11.4,42,92.5,59,4,88.4,327,561,223,7.4,18.7,1.64,4.2,2.14,40.07,0.29,1.88,1.79,0.0899999999999999,8.5,-0.174,3,-1.41,0.059,-0.12,2.5,0.036,3,1.33,0.312,2,1.99,1825,2860,65.6,60.6,0.39,5,4,0.61,28,20,67.2,68.2,60.8,65.7,65.1,4,0.97,1,1.32,6,1.05,12,0.16,7,0.81,2.11,"outdoors",0
"17","WR17","Amari Cooper",9.51,3.14,36.22,0.51,"2024_20_BAL_BUF",51.5,"BAL",14,1.5,1,"2025-01-19","Sunday","18:30",9437,"WR","BUF",15,12.7,4,54.1,64.7,11,17,0,14.8,8,24,4,0,35.7,79,67.7,NA,68.3,0,0,2,30,0,0,419,5,92.6,388,20.3,85,80.3,85,4,79.7,334,555,125,2.7,12.1,1.43,5.7,3.07,37,0.27,1.53,1.36,0.17,8.5,-0.174,3,-1.41,0.059,-0.12,2.5,0.036,3,1.33,0.312,2,1.99,1825,2860,65.6,60.6,0.39,5,4,0.61,28,20,67.2,68.2,60.8,65.7,65.1,4,0.97,1,1.32,6,1.05,12,0.16,7,0.81,2.11,"outdoors",0
"18","WR18","Kj Osborn",9.51,2.3,45.38,0.27,"2024_20_WAS_DET",55.5,"DET",7,9.5,0,"2025-01-18","Saturday","20:00",23503,"WR","WAS",8,6.8,0,41.2,40,2,5,0,0,0,2,32,0,75.6,69.5,52.2,NA,51.9,0,0,0,22,0,0,143,3,93,133,32.9,47,70,17,1,67.1,96,57,15,2.1,8.1,0.43,2.1,0.88,7.12,0.12,0.16,0.55,-0.39,9.5,-0.11,12,-0.52,-0.016,-1.18,4,0.02,4,1.13,0.219,4,1.23,2266,2390,63.7,64.4,0.487,1,6,0.513,32,8,67.2,67,62.2,65.7,66.5,4,0.97,6,0.94,3,1.41,12,0.16,4,1.15,2.41,"dome",1
