"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Hunter Henry","189","12","0.21","65","1.01","57.5","-24","Bobby Okereke","231","19","0.28","73","1.37","71.8"
"Juwan Johnson","212","14","0.26","70","1.02","61.1","-31","Patrick Queen","274","17","0.28","83","1.41","59.8"
"Tyler Conklin","239","19","0.34","70","1.29","60.3","-33","Tremaine Edmunds","204","16","0.24","73","0.9","70.4"
"Dallas Goedert","220","18","0.36","82","1.91","75.3","22","Christian Kirksey","217","13","0.23","66","0.83","58.2"
"Noah Fant","152","18","0.3","79","1.16","63.8","-2","Isaiah Simmons","222","12","0.26","93","1.21","63.3"
"Cade Otton","195","13","0.18","72","0.91","56","-23","Ernest Jones","152","19","0.28","83","1.18","70.1"
"Austin Hooper","111","12","0.19","77","1.05","58.6","-12","Willie Gay Jr.","79","28","0.5","95","2.32","50.4"
"Logan Thomas","144","13","0.21","68","0.74","56.4","-6","Eric Kendricks","277","10","0.16","59","0.78","57.6"
"Zach Ertz","323","18","0.29","72","1.1","63.1","14","Cody Barton","185","16","0.33","79","1.42","50.8"
"Kyle Pitts","143","25","0.41","58","1.8","71.2","-6","Drue Tranquill","198","12","0.19","83","0.68","72.4"
"Mark Andrews","224","29","0.54","66","2.18","84.5","-18","Demario Davis","257","7","0.1","68","0.45","86.6"
"Dawson Knox","185","12","0.24","74","0.85","61.9","21","C.J. Mosley","299","13","0.2","75","0.95","61.9"
"Tommy Tremble","126","11","0.18","57","0.7","44.8","-60","Logan Wilson","235","13","0.21","73","0.91","68.1"
"Cole Kmet","188","11","0.19","70","0.85","62","-31","Clayton Fejedelem","11","36","0.35","50","1.64","63.6"
"Hayden Hurst","261","15","0.28","82","1.03","63.1","-8","Frankie Luvu","153","14","0.32","86","1.21","72.8"
"T.J. Hockenson","211","19","0.4","63","1.87","69.4","7","Quay Walker","149","13","0.22","79","1.23","51.4"
"Robert Tonyan","184","22","0.38","85","1.55","59.1","30","Juju Hughes","82","7","0.18","83","0.48","53.8"
"O.J. Howard","72","18","0.4","54","1.33","59","-23","Kyzir White","219","16","0.19","69","0.77","59.8"
"Mo Alie-Cox","148","10","0.25","73","0.92","53.9","-13","Kyle Dugger","129","11","0.19","64","0.78","66.7"
"Evan Engram","245","18","0.29","71","1.35","60.5","-17","Denzel Perryman","83","16","0.38","85","1.05","66.9"
"Travis Kelce","249","24","0.58","80","2.22","90.7","51","Zach Cunningham","73","15","0.4","91","1","66.8"
"Tyler Higbee","219","25","0.31","67","1.42","60.3","-17","Lavonte David","288","13","0.22","86","0.91","80.6"
"Gerald Everett","215","20","0.32","63","1.42","65.1","23","Rashaan Evans","298","11","0.2","85","1.01","59.7"
"Darren Waller","142","17","0.28","67","1.23","62.8","6","Devin Lloyd","271","19","0.36","88","1.63","58.5"
"Mike Gesicki","192","15","0.36","72","1.22","65","3","Jack Sanborn","5","","","","","65.5"
"Johnny Mundt","83","17","0.31","86","0.92","53.6","-33","David Mayo","16","6","0.22","100","1.56","62.5"