#,Name,ID,Salary,ceil,fpts,total_pts,odds_open,odds_close,odds_delta_per,odds_rank,win,residuals,proj_own,own_change,own
3,Rory McIlroy,22969166,10500,110,89.91,97.43,0.0808,0.0942,0.1658,2,0.0927,1.97,23.6,9.47,0.33
1,Scottie Scheffler,22969164,11100,106.5,87.45,102.68,0.0904,0.1005,0.1117,1,0.104,-0.67,18.3,7.7,0.26
2,Justin Thomas,22969165,10900,118.35,91.54,102.68,0.0795,0.0876,0.1019,3,0.0907,-0.72,15.9,9.34,0.25
13,Chris Kirk,22969177,9100,93.5,73.72,71.62,0.0184,0.0205,0.1141,12,0.0189,-0.34,13.9,4.87,0.19
6,Sam Burns,22969169,10000,97,76.76,72.31,0.0549,0.0524,-0.0455,5,0.0466,0.14,11,6.34,0.17
11,Adam Hadwin,22969175,9300,88.5,66.01,75.82,0.0192,0.0232,0.2083,11,0.0126,-0.56,12.8,4.37,0.17
51,Adam Svensson,22969219,7100,80.5,56.82,48.79,0.0078,0.0069,-0.1154,32,0.0041,0.28,14.2,2.99,0.17
17,Jhonattan Vegas,22969182,8500,90,66.99,71.87,0.0134,0.0132,-0.0149,17,0.0117,-0.01,11.6,4.71,0.16
10,Tony Finau,22969174,9400,95.5,75.25,66.37,0.0303,0.0341,0.1254,9,0.029,0.33,16.4,5.6,0.15
14,Keith Mitchell,22969178,9000,87.85,65.17,72.62,0.0179,0.0176,-0.0168,14,0.0166,-0.42,10.7,4.32,0.15
21,Aaron Rai,22969187,7900,85.5,62.48,63.26,0.009,0.0084,-0.0667,24,0.0066,-0.01,11.6,3.67,0.15
5,Shane Lowry,22969168,10100,99.5,80.96,71.62,0.0432,0.0517,0.1968,6,0.0549,-0.33,12.3,6.06,0.14
12,Sebastian Munoz,22969176,9200,90,67.26,69.47,0.0191,0.0181,-0.0524,13,0.0184,-0.84,10,4.28,0.14
27,Nick Taylor,22969193,7700,82.5,57.95,57.49,0.0066,0.0072,0.0909,30,0.0052,-0.04,10.3,3.22,0.14
52,Doug Ghim,22969221,7000,82.5,57.77,52.75,0.0103,0.0086,-0.165,23,0.0076,0.59,10.3,3.3,0.14
7,Harold Varner III,22969171,9700,93,72.33,71.62,0.0263,0.0282,0.0722,10,0.0266,-1.23,8.7,4.41,0.13
15,Justin Rose,22969180,8800,85.5,61.91,67.2,0.014,0.0143,0.0214,16,0.0101,-0.38,9.4,3.8,0.13
26,J.J. Spaun,22969192,7700,82.5,56.37,54.91,0.0117,0.01,-0.1453,20,0.0076,0.32,8.9,3.62,0.13
30,Austin Smotherman,22969197,7500,81,55.26,52.76,0.0043,0.0044,0.0233,56,0.0036,-0.3,9.8,3.04,0.13
38,David Lipsky,22969205,7300,86.5,63.51,64.28,0.0082,0.0079,-0.0366,26,0.007,0.29,8.3,3.85,0.12
45,J.T. Poston,22969212,7200,79,52.35,48.79,0.0078,0.0069,-0.1154,32,0.0059,0.22,9.5,2.36,0.12
19,Rasmus Hojgaard,22969184,8300,84.5,59.93,59.18,0.008,0.0072,-0.1,30,0.0052,-0.47,5.5,4,0.1
22,Mark Hubbard,22969188,7900,84,60.61,58.39,0.0083,0.0075,-0.0964,28,0.0059,-0.12,5.4,4.1,0.1
25,Patrick Rodgers,22969191,7700,83,58.44,57.49,0.0081,0.0069,-0.1481,32,0.0054,-0.08,7.3,3.14,0.1
33,Alex Smalley,22969200,7500,84.5,59.91,56.06,0.0101,0.0091,-0.099,22,0.007,0.32,6.5,3.6,0.1
40,Matthias Schwab,22969207,7300,85,62.14,54.79,0.008,0.0067,-0.1625,35,0.0042,0.13,6,3.69,0.1
71,Carlos Ortiz,22969242,6700,77,49.87,47.64,0.0059,0.005,-0.1525,48,0.0029,0.26,7.4,2.74,0.1
84,Danny Lee,22969255,6600,77.5,49.54,47.64,0.0032,0.0049,0.5312,50,0.0028,0.32,7.3,2.82,0.1
46,Rory Sabbatini,22969213,7200,81.5,56.32,48.82,0.005,0.0044,-0.12,56,0.0034,-0.13,5.4,3.23,0.09
9,Tyrrell Hatton,22969173,9500,97.5,76.44,66.37,0.0298,0.0372,0.2483,8,0.03,0.35,14.2,6.53,0.08
34,Matt Wallace,22969201,7400,76.5,49.76,50.09,0.0047,0.0058,0.234,39,0.0015,-0.06,6.1,2.15,0.08
36,Emiliano Grillo,22969203,7400,83,57.34,55.2,0.0061,0.0057,-0.0656,40,0.0048,-0.07,4.8,3,0.08
42,Ryan Armour,22969209,7300,82.5,56.92,55.2,0.0049,0.0044,-0.102,56,0.0035,-0.19,5.2,2.59,0.08
54,Peter Malnati,22969223,7000,76,49.59,48.95,0.0053,0.0044,-0.1698,56,0.0036,-0.01,4.8,2.45,0.07
75,Callum Tarren,22969246,6700,75.5,47.75,43.82,0.004,0.0033,-0.175,70,0.0021,0,4.3,2.24,0.07
20,Brendon Todd,22969185,8200,83.5,59.65,54.91,0.0098,0.0151,0.5408,15,0.0064,0.58,16.7,4.24,0.06
29,Dylan Frittelli,22969196,7600,79,53.12,51.08,0.0116,0.0097,-0.1638,21,0.0084,0.35,9.2,2.91,0.06
53,Lee Hodges,22969222,7000,81.35,53.59,47.64,0.0061,0.0051,-0.1639,46,0.0027,0.09,2.7,2.84,0.06
58,Brandon Wu,22969227,6900,76.35,49.26,48.95,0.0053,0.0044,-0.1698,56,0.0025,0.05,3.5,2.19,0.06
60,Wyndham Clark,22969229,6900,75.5,48.25,47.64,0.0074,0.0062,-0.1622,36,0.0037,0.31,3.7,2.42,0.06
72,Brice Garnett,22969243,6700,80.5,54.79,43.82,0.0029,0.0024,-0.1724,87,0.0024,-0.13,3.9,2.48,0.06
8,Corey Conners,22969172,9600,97,77.7,66.37,0.037,0.0387,0.0459,7,0.0339,0.18,19,5.79,0.05
28,Dean Burmester,22969194,7600,83,58.14,57.01,0.0061,0.0051,-0.1639,46,0.0046,-0.26,1.4,3.4,0.05
37,John Huh,22969204,7400,80,53.68,50.09,0.0061,0.0054,-0.1148,43,0.0032,-0.11,4,2.79,0.05
44,Nick Hardy,22969211,7200,81.5,55.11,50.09,0.0061,0.0055,-0.0984,41,0.0042,0.02,2.2,2.96,0.05
48,Chase Seiffert,22969216,7100,80,54.23,50.09,0.0053,0.0044,-0.1698,56,0.0024,-0.07,2.3,2.73,0.05
55,Andrew Novak,22969224,7000,81,53.8,48.95,0.0058,0.0048,-0.1724,52,0.0032,0.05,1.7,2.84,0.05
76,Charley Hoffman,22969247,6700,79,52.84,43.82,0.0038,0.0036,-0.0526,65,0.0019,0.05,5.1,2.28,0.05
81,Sam Ryder,22969252,6600,79.5,52.43,42.52,0.0045,0.0038,-0.1556,62,0.0033,0.16,2.7,2.65,0.05
23,Cameron Champ,22969189,7800,77,50.25,52.39,0.0089,0.0078,-0.1236,27,0.0069,-0.02,8.4,2.3,0.04
24,Adam Long,22969190,7800,79,53.79,52.39,0.0098,0.0082,-0.1633,25,0.0096,0.03,8.7,2.79,0.04
35,Danny Willett,22969202,7400,79.5,53.35,50.09,0.007,0.0059,-0.1571,38,0.0035,-0.04,1.9,2.4,0.04
41,Greyson Sigg,22969208,7300,79,53.76,50.09,0.0059,0.005,-0.1525,48,0.0034,-0.11,1.4,2.68,0.04
50,Brian Stuard,22969218,7100,79,53.23,50.09,0.0059,0.005,-0.1525,48,0.002,0.01,1.8,2.29,0.04
69,Harry Higgs,22969240,6800,74,46.69,45.7,0.0058,0.0048,-0.1724,52,0.0023,0.17,2.7,1.69,0.04
90,Ben Martin,22969261,6500,76.5,49.15,42.52,0.0032,0.003,-0.0625,74,0.0018,0.1,1.3,2.49,0.04
92,Scott Gutschewski,22969263,6500,79.5,51.87,42.52,0.0043,0.0036,-0.1628,65,0.0015,0.19,1.1,2.54,0.04
96,Henrik Norlander,22969267,6400,75.5,49.36,43.82,0.0027,0.0023,-0.1481,90,0.0015,0.06,2,1.96,0.04
106,Scott Brown,22969278,6300,75,46.35,39.39,0.0024,0.002,-0.1667,98,0.001,0.07,1.7,2.4,0.04
62,Kramer Hickok,22969231,6900,76.5,50.93,47.64,0.0064,0.0054,-0.1562,43,0.003,0.19,1.3,1.98,0.03
70,Satoshi Kodaira,22969241,6700,78,51.51,42.97,0.002,0.002,0,98,7.00E-04,-0.19,2.4,2.28,0.03
91,Robert Streb,22969262,6500,74,47.59,45.7,0.0056,0.0047,-0.1607,53,0.0028,0.36,1.5,1.84,0.03
78,Jonathan Byrd,22969249,6600,72.5,45.54,41.87,0.0031,0.0026,-0.1613,83,0.0019,-0.03,1.3,1.76,0.02
39,Stephan Jaeger,22969206,7300,80,53.42,48.79,0.007,0.0068,-0.0286,34,0.0044,0.14,4.1,2.66,0.01
4,Cameron Smith,22969167,10300,102.5,83.71,69.89,0.0651,0.074,0.1367,4,0.0723,0.98,14.4,8.09,0
16,Sahith Theegala,22969181,8700,83.5,59.44,57.01,0.0128,0.0124,-0.0313,19,0.009,-0.42,10.9,3.68,0
18,Mackenzie Hughes,22969183,8400,80,53.49,52.39,0.011,0.0125,0.1364,18,0.0072,0.04,8.8,3.12,0
31,Tyler Duncan,22969198,7500,80,53.51,50.09,0.0056,0.0054,-0.0357,43,0.0045,-0.17,7.6,2.83,0
32,Martin Laird,22969199,7500,80.5,56.11,50.09,0.0072,0.0061,-0.1528,37,0.0032,-0.08,4.7,2.77,0
43,Joseph Bramlett,22969210,7200,80.5,54.44,44.97,0.0043,0.0036,-0.1628,65,0.0033,-0.24,2.5,2.49,0
47,Trey Mullinax,22969215,7100,78,51.75,44.97,0.0045,0.0038,-0.1556,62,0.0023,-0.15,2,2.22,0
49,Brandt Snedeker,22969217,7100,78.5,52.95,40.05,0.0036,0.003,-0.1667,74,0.0012,-0.27,4,1.88,0
56,Hank Lebioda,22969225,7000,79.5,53.81,43.82,0.0034,0.0029,-0.1471,76,0.0021,-0.23,2.8,2.01,0
57,Scott Piercy,22969226,7000,78.5,51.8,43.82,0.0047,0.0039,-0.1702,60,0.0033,-0.08,1.8,2.23,0
59,Hayden Buckley,22969228,6900,77.5,50.54,43.82,0.0032,0.0027,-0.1562,79,0.0016,-0.2,1.7,2.13,0
61,Luke Donald,22969230,6900,78,52.74,43.82,0.0042,0.0035,-0.1667,68,0.0017,-0.08,4.2,2.19,0
63,Sean O'Hair,22969234,6800,75.5,48.85,43.82,0.0033,0.0027,-0.1818,79,0.0015,-0.14,0.89,2.14,0
64,Wesley Bryan,22969235,6800,79.85,53.29,43.82,0.0036,0.0031,-0.1389,72,0.0015,-0.08,1.7,2.69,0
65,Bill Haas,22969236,6800,71.5,44.73,37.44,0.0047,0.0039,-0.1702,60,0.0014,0.03,1.5,1.76,0
66,Justin Lower,22969237,6800,68.5,40.35,40.23,0.0036,0.003,-0.1667,74,0.0018,-0.1,2.6,1.54,0
67,Ryan Moore,22969238,6800,76.5,49.62,39.39,0.0032,0.0027,-0.1562,79,8.00E-04,-0.14,1.9,1.84,0
68,Vaughn Taylor,22969239,6800,78,51.64,39.39,0.0034,0.0029,-0.1471,76,0.0013,-0.11,5.5,2.29,0
73,Paul Barjon,22969244,6700,74,46.47,37.44,0.0025,0.0021,-0.16,94,0.001,-0.18,0.69,1.52,0
74,Ben Kohles,22969245,6700,72.5,44.63,37.44,0.0029,0.0024,-0.1724,87,0.0013,-0.13,1.2,1.81,0
77,Camilo Villegas,22969248,6600,74.5,47.87,39.39,0.0031,0.0026,-0.1613,83,0.0013,-0.03,1.2,1.62,0
79,Rafa Cabrera Bello,22969250,6600,73,46.34,37.44,0.0025,0.0021,-0.16,94,7.00E-04,-0.1,0.75,1.17,0
80,Michael Gligic,22969251,6600,68.5,40.26,35.8,0.0027,0.0023,-0.1481,90,9.00E-04,-0.07,1.8,1.24,0
82,Brandon Hagy,22969253,6600,69.5,41.97,37.44,0.0031,0.0026,-0.1613,83,0.001,-0.03,0.79,0.86,0
83,Kelly Kraft,22969254,6600,65.5,37.74,35.8,0.0016,0.0014,-0.125,106,9.00E-04,-0.21,0.18,0.15,0
85,David Lingmerth,22969256,6500,76.5,49.36,39.39,0.0031,0.0026,-0.1613,83,0.0014,0.04,3.2,2.16,0
86,Cameron Percy,22969257,6500,77.5,51.15,39.39,0.0031,0.0026,-0.1613,83,9.00E-04,0.04,2.7,2.22,0
87,Trevor Werbylo,22969258,6500,66,38.12,26,0.0016,0.0014,-0.125,106,0,-0.14,0.32,1.26,0
88,Dylan Wu,22969259,6500,74.5,46.97,39.39,0.004,0.0033,-0.175,70,0.0013,0.15,0.71,1.87,0
89,Curtis Thompson,22969260,6500,75,47.34,39.39,0.0027,0.0023,-0.1481,90,9.00E-04,-0.01,0.22,1.57,0
93,Nick Watney,22969264,6400,64,36.01,26,0.0014,0.0012,-0.1429,108,0,-0.11,0.3,0.33,0
94,Aaron Cockerill,22969265,6400,69,41.22,26.37,0.0011,9.00E-04,-0.1818,111,0,-0.16,2.2,1.8,0
95,Sung Kang,22969266,6400,63.5,36.07,29.35,0.0029,0.0024,-0.1724,87,6.00E-04,0.07,2.6,0.6,0
97,Roger Sloan,22969268,6400,76,48.26,39.39,0.004,0.0033,-0.175,70,0.0013,0.22,0.7,1.77,0
98,David Skinns,22969269,6400,73,44.74,37.44,0.0025,0.0021,-0.16,94,7.00E-04,0.03,0.51,1.63,0
99,Jason Dufner,22969270,6400,73.5,46.21,27.64,0.0013,0.0011,-0.1538,109,0,-0.13,0.82,0.78,0
100,Robert Garrigus,22969271,6400,75.35,47.77,31.67,0.0018,0.0015,-0.1667,103,0,-0.07,1.3,2.61,0
101,Jim Knous,22969272,6300,70,42.06,27.64,0.0011,9.00E-04,-0.1818,111,0,-0.11,0.42,1.1,0
102,Yi Cao,22969273,6300,53.21,25.34,26,9.00E-04,8.00E-04,-0.1111,114,0,-0.12,0.02,-3.46,0
103,Tommy Gainey,22969274,6300,59.5,33.75,26,6.00E-04,5.00E-04,-0.1667,126,0,-0.17,0.04,-0.51,0
104,Mark Hensby,22969276,6300,54.5,31.09,26,6.00E-04,5.00E-04,-0.1667,126,0,-0.17,0.53,-0.13,0
105,Max McGreevy,22969277,6300,70,41.44,37.44,0.0024,0.002,-0.1667,98,7.00E-04,0.07,1.1,1.24,0
107,Austin Cook,22969279,6300,62,35.22,26,0.0022,0.0018,-0.1818,100,0,0.04,0.19,-0.05,0
108,Jared Du Toit,22969282,6200,53.36,25.41,26,6.00E-04,5.00E-04,-0.1667,126,0,-0.12,0.11,-2.27,0
109,David Hearn,22969283,6200,62.5,35.76,26,6.00E-04,5.00E-04,-0.1667,126,0,-0.12,0.07,0.03,0
110,Joshua Creel,22969284,6200,61,34.39,26,9.00E-04,8.00E-04,-0.1111,114,0,-0.07,0.04,-0.46,0
111,Bo Van Pelt,22969285,6200,61,34.43,26,6.00E-04,5.00E-04,-0.1667,126,0,-0.12,0.16,-0.61,0
112,Brett Drewitt,22969286,6200,69.5,40.67,27.64,0.0011,9.00E-04,-0.1818,111,0,-0.05,0.03,1.01,0
113,D.A. Points,22969287,6200,55,31.55,26,6.00E-04,5.00E-04,-0.1667,126,0,-0.12,0.07,-0.16,0
114,Jonas Blixt,22969288,6200,58.5,32.99,26,6.00E-04,5.00E-04,-0.1667,126,0,-0.12,0.26,-1.11,0
115,Greg Chalmers,22969290,6200,62,35.08,35.8,0.0024,0.002,-0.1667,98,8.00E-04,0.12,0.12,0.45,0
116,Albin Choi,22969291,6200,53.13,25.3,24.72,0.0027,0.0023,-0.1481,90,0,0.17,0.08,0.04,0
117,Callum Davison,22969292,6100,53.77,25.61,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.06,0.01,-3.4,0
118,Max Sekulic,22969293,6100,53.42,25.44,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.06,0.01,-3.44,0
119,William Buhl,22969294,6100,53.51,25.48,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.06,0.01,-3.43,0
120,Jim Herman,22969295,6100,71,43.44,34.58,0.0042,0.0035,-0.1667,68,8.00E-04,0.43,0.18,1.41,0
121,Brendan Leonard,22969296,6100,53.68,25.56,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.06,0.01,-3.41,0
122,Wes Heffernan,22969297,6100,52.95,25.21,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.06,0.01,-3.49,0
123,Seth Reeves,22969298,6100,69.5,40.46,34.58,0.0014,0.0012,-0.1429,108,7.00E-04,0.06,0.35,1.16,0
124,Martin Trainer,22969299,6100,57,32.17,26.49,0.0018,0.0015,-0.1667,103,6.00E-04,0.11,0.51,-0.36,0
125,Kevin Stadler,22969300,6100,34.5,28.32,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.06,0.01,-4.05,0
126,Bo Hoag,22969301,6100,74,47.34,34.58,9.00E-04,8.00E-04,-0.1111,114,7.00E-04,-0.01,0.22,1.47,0
127,Seung-Yul Noh,22969302,6100,68.5,39.99,32.93,0.002,0.0017,-0.15,101,0.001,0.14,0.13,1.06,0
128,Mike Weir,22969303,6000,72.5,45.25,24.78,6.00E-04,5.00E-04,-0.1667,126,0,-0.01,0.08,1.94,0
129,Johnny Travale,22969304,6000,53.16,25.31,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.01,0.01,-3.44,0
130,Ricky Barnes,22969305,6000,57,32.13,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.01,0.05,-1,0
131,John Merrick,22969306,6000,58.5,33.43,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.01,0.01,-1.55,0
132,Myles Creighton,22969307,6000,53.89,25.66,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.01,0.01,-3.35,0
133,Joseph Deraney,22969308,6000,53.89,25.66,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.01,0.01,-3.35,0
134,Stuart Macdonald,22969310,6000,54.51,25.96,23.13,0.0018,0.0015,-0.1667,103,0,0.16,0.01,-0.35,0
135,Johnson Wagner,22969311,6000,55.5,31.65,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.01,0.09,-0.8,0
136,Ben Crane,22969312,6000,56,31.71,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.01,0.02,-1.23,0
137,Brian Davis,22969313,6000,53.27,25.37,23.13,6.00E-04,5.00E-04,-0.1667,126,0,-0.01,0.03,-1.49,0
